o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1450,inf,9.75,3.2,12.67,22.85,60,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-60,303.1536,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1451,inf,9.75,3.2,12.67,22.85,100,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-100,303.1525,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1452,inf,9.75,3.2,12.67,22.85,150,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-150,303.1516,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1453,inf,9.75,3.2,12.67,22.85,200,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-200,303.1541,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1454,inf,9.75,3.2,12.67,22.85,250,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-250,303.1481,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1455,inf,9.75,3.2,12.67,22.85,300,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-300,303.1503,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1456,inf,9.75,3.2,12.67,22.85,350,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-350,303.1521,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1457,inf,9.75,3.2,12.67,22.85,400,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-400,303.1497,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1458,inf,9.75,3.2,12.67,22.85,500,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-500,303.1502,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,200,1459,inf,9.75,3.2,12.67,22.85,600,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,-600,303.1489,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1460,inf,9.75,3.2,12.67,16.78,-50,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,50,303.1494,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1461,inf,9.75,3.2,12.67,16.78,-100,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,100,303.1485,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1462,inf,9.75,3.2,12.67,16.78,-150,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,150,303.149,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1463,inf,9.75,3.2,12.67,16.78,-200,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,200,303.151,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1464,inf,9.75,3.2,12.67,16.78,-300,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,300,303.1515,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1465,inf,9.75,3.2,12.67,16.78,-400,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,400,303.1505,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1466,inf,9.75,3.2,12.67,16.78,-500,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,500,303.152,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1467,inf,9.75,3.2,12.67,16.78,-600,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,600,303.151,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1468,inf,9.75,3.2,12.67,16.78,-800,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,800,303.1483,5.8265
4.698,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,7,0.03,400,1469,inf,9.75,3.2,12.67,16.78,-1000,50,105,220,13C_G_C1p_dl,64,0.062,2,60.76302,150.784627,599.66,188.81,1000,303.1496,5.8265
