offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-1.893467336683416988e+03,1.200000000000000000e+03,6.640945869120705503e+00,0.000000000000000000e+00,1.966546693535199353e+01,0.000000000000000000e+00,9.998937696643450668e-01
-1.869346733668341585e+03,1.200000000000000000e+03,6.745229357652268831e+00,0.000000000000000000e+00,1.969309449919877153e+01,0.000000000000000000e+00,9.998902721431206508e-01
-1.845226130653266409e+03,1.200000000000000000e+03,6.852261675251633655e+00,0.000000000000000000e+00,1.972122048275301154e+01,0.000000000000000000e+00,9.998860223843247796e-01
-1.821105527638190779e+03,1.200000000000000000e+03,6.962128089290825272e+00,0.000000000000000000e+00,1.974987289431292936e+01,0.000000000000000000e+00,9.998825623944468388e-01
-1.796984924623115603e+03,1.200000000000000000e+03,7.074901597291745503e+00,0.000000000000000000e+00,1.977903261453616679e+01,0.000000000000000000e+00,9.998787753323697958e-01
-1.772864321608040200e+03,1.200000000000000000e+03,7.190660800043926493e+00,0.000000000000000000e+00,1.980869463819439602e+01,0.000000000000000000e+00,9.998747942030113967e-01
-1.748743718592964797e+03,1.200000000000000000e+03,7.309486222048042769e+00,0.000000000000000000e+00,1.983885551762746147e+01,0.000000000000000000e+00,9.998706706292801449e-01
-1.724623115577889394e+03,1.200000000000000000e+03,7.431458847710499249e+00,0.000000000000000000e+00,1.986950895097374925e+01,0.000000000000000000e+00,9.998664134574067885e-01
-1.700502512562813990e+03,1.200000000000000000e+03,7.556660269933187735e+00,0.000000000000000000e+00,1.990064674790512456e+01,0.000000000000000000e+00,9.998620253296731653e-01
-1.676381909547738815e+03,1.200000000000000000e+03,7.685172540392514406e+00,0.000000000000000000e+00,1.993225887002295593e+01,0.000000000000000000e+00,9.998575086048169247e-01
-1.652261306532663184e+03,1.200000000000000000e+03,7.817077969264686566e+00,0.000000000000000000e+00,1.996433338232282395e+01,0.000000000000000000e+00,9.998528691486703313e-01
-1.628140703517588008e+03,1.200000000000000000e+03,7.952458841064767192e+00,0.000000000000000000e+00,1.999685623793912725e+01,0.000000000000000000e+00,9.998481209440572837e-01
-1.604020100502512378e+03,1.200000000000000000e+03,8.091390223032844276e+00,0.000000000000000000e+00,2.002979190917491081e+01,0.000000000000000000e+00,9.998425261363439454e-01
-1.579899497487437202e+03,1.200000000000000000e+03,8.233967447747927437e+00,0.000000000000000000e+00,2.006316109768627953e+01,0.000000000000000000e+00,9.998375495530561485e-01
-1.555778894472361799e+03,1.200000000000000000e+03,8.380264220149538090e+00,0.000000000000000000e+00,2.009692370950672569e+01,0.000000000000000000e+00,9.998325313142659709e-01
-1.531658291457286396e+03,1.200000000000000000e+03,8.530357189125803430e+00,0.000000000000000000e+00,2.013104982026240464e+01,0.000000000000000000e+00,9.998272312800680073e-01
-1.507537688442210992e+03,1.200000000000000000e+03,8.684324417989580880e+00,0.000000000000000000e+00,2.016551557791859395e+01,0.000000000000000000e+00,9.998217612940009102e-01
-1.483417085427135589e+03,1.200000000000000000e+03,8.842240766321090462e+00,0.000000000000000000e+00,2.020029179247414675e+01,0.000000000000000000e+00,9.998161432794728798e-01
-1.459296482412060413e+03,1.200000000000000000e+03,9.004178072674278610e+00,0.000000000000000000e+00,2.023534580924902571e+01,0.000000000000000000e+00,9.998103860962602729e-01
-1.435175879396984783e+03,1.200000000000000000e+03,9.170204689724236857e+00,0.000000000000000000e+00,2.027064171638365409e+01,0.000000000000000000e+00,9.998044972444957157e-01
-1.411055276381909607e+03,1.200000000000000000e+03,9.340384898380536427e+00,0.000000000000000000e+00,2.030614036030636527e+01,0.000000000000000000e+00,9.997984879674854941e-01
-1.386934673366833977e+03,1.200000000000000000e+03,9.514778222687416687e+00,0.000000000000000000e+00,2.034179925195850203e+01,0.000000000000000000e+00,9.997923793255315550e-01
-1.362814070351758801e+03,1.200000000000000000e+03,9.693438202625026534e+00,0.000000000000000000e+00,2.037757137171863064e+01,0.000000000000000000e+00,9.997861968418618739e-01
-1.338693467336683398e+03,1.200000000000000000e+03,9.876400136033826271e+00,0.000000000000000000e+00,2.041337949090594606e+01,0.000000000000000000e+00,9.997780432234459891e-01
-1.314572864321607994e+03,1.200000000000000000e+03,1.006373041059681661e+01,0.000000000000000000e+00,2.044922919197110645e+01,0.000000000000000000e+00,9.997723087738396019e-01
-1.290452261306532591e+03,1.200000000000000000e+03,1.025544730637512103e+01,0.000000000000000000e+00,2.048503158643761779e+01,0.000000000000000000e+00,9.997658783899638912e-01
-1.266331658291457188e+03,1.200000000000000000e+03,1.045157207177796543e+01,0.000000000000000000e+00,2.052072210751969195e+01,0.000000000000000000e+00,9.997591870267606984e-01
-1.242211055276381785e+03,1.200000000000000000e+03,1.065211869815982126e+01,0.000000000000000000e+00,2.055623885136580142e+01,0.000000000000000000e+00,9.997523507224554962e-01
-1.218090452261306382e+03,1.200000000000000000e+03,1.085708910599528387e+01,0.000000000000000000e+00,2.059151447022930981e+01,0.000000000000000000e+00,9.997454044226780079e-01
-1.193969849246230979e+03,1.200000000000000000e+03,1.106647265758708265e+01,0.000000000000000000e+00,2.062647775432817809e+01,0.000000000000000000e+00,9.997383680191508359e-01
-1.169849246231155803e+03,1.200000000000000000e+03,1.128024506515468417e+01,0.000000000000000000e+00,2.066105400392294555e+01,0.000000000000000000e+00,9.997312577609954731e-01
-1.145728643216080400e+03,1.200000000000000000e+03,1.149836729867904062e+01,0.000000000000000000e+00,2.069516550282322243e+01,0.000000000000000000e+00,9.997240946484442503e-01
-1.121608040201004997e+03,1.200000000000000000e+03,1.172078436659322875e+01,0.000000000000000000e+00,2.072873183707779532e+01,0.000000000000000000e+00,9.997169118229271012e-01
-1.097487437185929593e+03,1.200000000000000000e+03,1.194742410378532149e+01,0.000000000000000000e+00,2.076167032034008031e+01,0.000000000000000000e+00,9.997097764722528979e-01
-1.073366834170854190e+03,1.200000000000000000e+03,1.217819007459558556e+01,0.000000000000000000e+00,2.079388589670832843e+01,0.000000000000000000e+00,9.997026123427579236e-01
-1.049246231155778787e+03,1.200000000000000000e+03,1.241295203900043376e+01,0.000000000000000000e+00,2.082525804957534987e+01,0.000000000000000000e+00,9.996923965006605517e-01
-1.025125628140703384e+03,1.200000000000000000e+03,1.265163292155808605e+01,0.000000000000000000e+00,2.085579633240701725e+01,0.000000000000000000e+00,9.996860700783571918e-01
-1.001005025125627981e+03,1.200000000000000000e+03,1.289404071514936412e+01,0.000000000000000000e+00,2.088534523015292166e+01,0.000000000000000000e+00,9.996790022616641735e-01
-9.768844221105525776e+02,1.200000000000000000e+03,1.313999691958492910e+01,0.000000000000000000e+00,2.091381613136208273e+01,0.000000000000000000e+00,9.996717481898337310e-01
-9.527638190954774018e+02,1.200000000000000000e+03,1.338929817132839162e+01,0.000000000000000000e+00,2.094112103532278368e+01,0.000000000000000000e+00,9.996644564489510776e-01
-9.286432160804019986e+02,1.200000000000000000e+03,1.364171344334367930e+01,0.000000000000000000e+00,2.096717055034448052e+01,0.000000000000000000e+00,9.996571812870044260e-01
-9.045226130653265955e+02,1.200000000000000000e+03,1.389698378270289680e+01,0.000000000000000000e+00,2.099187608620066570e+01,0.000000000000000000e+00,9.996499564432921314e-01
-8.804020100502511923e+02,1.200000000000000000e+03,1.415482137908492355e+01,0.000000000000000000e+00,2.101515072906533277e+01,0.000000000000000000e+00,9.996428089121974780e-01
-8.562814070351757891e+02,1.200000000000000000e+03,1.441490863078918849e+01,0.000000000000000000e+00,2.103690993679744992e+01,0.000000000000000000e+00,9.996357629275391954e-01
-8.321608040201003860e+02,1.200000000000000000e+03,1.467689776096525556e+01,0.000000000000000000e+00,2.105707285775125470e+01,0.000000000000000000e+00,9.996288541925572035e-01
-8.080402010050249828e+02,1.200000000000000000e+03,1.494040969514649930e+01,0.000000000000000000e+00,2.107556227811285154e+01,0.000000000000000000e+00,9.996221222270326168e-01
-7.839195979899495796e+02,1.200000000000000000e+03,1.520503462700570196e+01,0.000000000000000000e+00,2.109230679175902523e+01,0.000000000000000000e+00,9.996156528610563585e-01
-7.597989949748741765e+02,1.200000000000000000e+03,1.547033134149455513e+01,0.000000000000000000e+00,2.110724076220533263e+01,0.000000000000000000e+00,9.996096269536184353e-01
-7.356783919597990007e+02,1.200000000000000000e+03,1.573580297624361357e+01,0.000000000000000000e+00,2.112027159638981644e+01,0.000000000000000000e+00,9.996038225462047233e-01
-7.115577889447235975e+02,1.200000000000000000e+03,1.600096048837714946e+01,0.000000000000000000e+00,2.113136870655758770e+01,0.000000000000000000e+00,9.995933487674997231e-01
-6.874371859296481944e+02,1.200000000000000000e+03,1.626525478654173540e+01,0.000000000000000000e+00,2.114046843866911729e+01,0.000000000000000000e+00,9.995875077278686405e-01
-6.633165829145727912e+02,1.200000000000000000e+03,1.652816376961779810e+01,0.000000000000000000e+00,2.114759054703188923e+01,0.000000000000000000e+00,9.995822699787475507e-01
-6.391959798994973880e+02,1.200000000000000000e+03,1.678905506315668461e+01,0.000000000000000000e+00,2.115265460361345262e+01,0.000000000000000000e+00,9.995769884762734092e-01
-6.150753768844219849e+02,1.200000000000000000e+03,1.704730492737970593e+01,0.000000000000000000e+00,2.115563751070988374e+01,0.000000000000000000e+00,9.995718397608426287e-01
-5.909547738693465817e+02,1.200000000000000000e+03,1.730226351005208585e+01,0.000000000000000000e+00,2.115652434484263011e+01,0.000000000000000000e+00,9.995669045146502452e-01
-5.668341708542711785e+02,1.200000000000000000e+03,1.755325679423307506e+01,0.000000000000000000e+00,2.115530823096051094e+01,0.000000000000000000e+00,9.995622255618026308e-01
-5.427135678391957754e+02,1.200000000000000000e+03,1.779958924085503469e+01,0.000000000000000000e+00,2.115199051988651036e+01,0.000000000000000000e+00,9.995578256694406249e-01
-5.185929648241205996e+02,1.200000000000000000e+03,1.804054775564422286e+01,0.000000000000000000e+00,2.114658196267800605e+01,0.000000000000000000e+00,9.995537343542679753e-01
-4.944723618090451964e+02,1.200000000000000000e+03,1.827540385603935746e+01,0.000000000000000000e+00,2.113910111459365382e+01,0.000000000000000000e+00,9.995499621419450254e-01
-4.703517587939697933e+02,1.200000000000000000e+03,1.850341874645098983e+01,0.000000000000000000e+00,2.112957567131167025e+01,0.000000000000000000e+00,9.995465293747786140e-01
-4.462311557788943901e+02,1.200000000000000000e+03,1.872384678751755871e+01,0.000000000000000000e+00,2.111804132302035342e+01,0.000000000000000000e+00,9.995434503949505167e-01
-4.221105527638189869e+02,1.200000000000000000e+03,1.893594017844682043e+01,0.000000000000000000e+00,2.110454154392722614e+01,0.000000000000000000e+00,9.995407362511649074e-01
-3.979899497487435838e+02,1.200000000000000000e+03,1.913895403830098019e+01,0.000000000000000000e+00,2.108912735571313846e+01,0.000000000000000000e+00,9.995383982525227751e-01
-3.738693467336681806e+02,1.200000000000000000e+03,1.933215159812709061e+01,0.000000000000000000e+00,2.107185679221816343e+01,0.000000000000000000e+00,9.995364472004990564e-01
-3.497487437185927774e+02,1.200000000000000000e+03,1.951480981071089360e+01,0.000000000000000000e+00,2.105279447501814616e+01,0.000000000000000000e+00,9.995348957812012491e-01
-3.256281407035176017e+02,1.200000000000000000e+03,1.968622480614339665e+01,0.000000000000000000e+00,2.103201074101156109e+01,0.000000000000000000e+00,9.995337535273436380e-01
-3.015075376884419711e+02,1.200000000000000000e+03,1.984571754377082797e+01,0.000000000000000000e+00,2.100958080124986083e+01,0.000000000000000000e+00,9.995330231893498896e-01
-2.773869346733667953e+02,1.200000000000000000e+03,1.999264117868725776e+01,0.000000000000000000e+00,2.098558560953754792e+01,0.000000000000000000e+00,9.995327300266517723e-01
-2.532663316582911648e+02,1.200000000000000000e+03,2.012638482927174621e+01,0.000000000000000000e+00,2.096010887984711601e+01,0.000000000000000000e+00,9.995328795689664148e-01
