o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1448,-3.9,9.75,3.2,9.87,25.36,-395,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,395,290.65,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1449,-3.9,9.75,3.2,9.87,25.36,-415,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,415,290.6465,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1450,-3.9,9.75,3.2,9.87,25.36,-435,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,435,290.651,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1451,-3.9,9.75,3.2,9.87,25.36,-455,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,455,290.6507,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1452,-3.9,9.75,3.2,9.87,25.36,-475,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,475,290.6498,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1453,-3.9,9.75,3.2,9.87,25.36,-525,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,525,290.6509,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1454,-3.9,9.75,3.2,9.87,25.36,-575,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,575,290.6499,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1455,-3.9,9.75,3.2,9.87,25.36,-625,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,625,290.6518,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1456,-3.9,9.75,3.2,9.87,25.36,-675,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,675,290.6519,8.0166
4.694,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,138.6787,7,0.015,150,1457,-3.9,9.75,3.2,9.87,25.36,-775,50,105,220,13C_A16_C8_dl,16,0.032,2,60.76302,150.784627,599.66,188.81,775,290.6502,8.0166
