o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1420,-3.42,9.78,3.2,11.57,21.21,-250,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,250,298.1501,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1421,-3.42,9.78,3.2,11.57,21.21,-300,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,300,298.1507,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1422,-3.42,9.78,3.2,11.57,21.21,-350,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,350,298.1511,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1423,-3.42,9.78,3.2,11.57,21.21,-400,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,400,298.1516,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1424,-3.42,9.78,3.2,11.57,21.21,-450,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,450,298.1485,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1425,-3.42,9.78,3.2,11.57,21.21,-500,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,500,298.1517,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1426,-3.42,9.78,3.2,11.57,21.21,-550,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,550,298.1509,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1427,-3.42,9.78,3.2,11.57,21.21,-600,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,600,298.1512,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1428,-3.42,9.78,3.2,11.57,21.21,50,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-50,298.1497,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1429,-3.42,9.78,3.2,11.57,21.21,100,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-100,298.1493,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1430,-3.42,9.78,3.2,11.57,21.21,150,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-150,298.149,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1431,-3.42,9.78,3.2,11.57,21.21,200,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-200,298.1487,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1432,-3.42,9.78,3.2,11.57,21.21,300,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-300,298.15,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1433,-3.42,9.78,3.2,11.57,21.21,400,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-400,298.1498,5.6312
4.71,-0.82,170.00000155,13CselR1rho.ijk,30.26,9000,1500,29.25,81.7854,7,0.021,200,1434,-3.42,9.78,3.2,11.57,21.21,600,50,105,220,13C_A6_A16_C1p_dl,16,0.044,2,70.948117,176.059144,700.175,203,-600,298.1497,5.6312
