offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
4.944723618090451964e+02,2.000000000000000000e+02,-2.329964390652946804e+01,-2.329964390652946804e+01,-6.881710234660067727e+02,-6.881710234660067727e+02,-6.932064665000107198e+02,-9.193357754918780600e+00,-1.854634603564724671e+01,-1.854634603564724671e+01,-5.215281928705534753e+00
4.643216080402007719e+02,2.000000000000000000e+02,-2.314556688318623401e+01,-2.314556688318623401e+01,-6.889158520696169035e+02,-6.889158520696169035e+02,-6.916823988033892192e+02,-9.535922291005590523e+00,-1.841202978306279192e+01,-1.841202978306279192e+01,-5.483914433874081062e+00
4.341708542713568022e+02,2.000000000000000000e+02,-2.296041246376921663e+01,-2.296041246376921663e+01,-6.897020645148304538e+02,-6.897020645148304538e+02,-6.901502164274232882e+02,-9.865988615378572746e+00,-1.825531518804064035e+01,-1.825531518804064035e+01,-5.797343623917905475e+00
4.040201005025123777e+02,2.000000000000000000e+02,-2.273342021811117775e+01,-2.273342021811117775e+01,-1.021874913916623129e+01,-6.904637392139961776e+02,-6.904637392139961776e+02,-6.887280909966176523e+02,-1.807145125018212184e+01,-1.807145125018212184e+01,-6.165071499634304786e+00
3.738693467336683511e+02,2.000000000000000000e+02,-2.244748012341324284e+01,-2.244748012341324284e+01,-6.911748302976054674e+02,-6.911748302976054674e+02,-1.062874293024505157e+01,-6.874677952277160102e+02,-1.785456676549921440e+01,-1.785456676549921440e+01,-6.598840469001623354e+00
3.437185929648239835e+02,2.000000000000000000e+02,-2.207721021359756719e+01,-2.207721021359756719e+01,-6.918408794951931213e+02,-6.918408794951931213e+02,-1.112792619363260549e+01,-6.863770533887889087e+02,-1.759745022897021727e+01,-1.759745022897021727e+01,-7.113073542059665577e+00
3.135678391959800138e+02,2.000000000000000000e+02,-2.160908277257283316e+01,-2.160908277257283316e+01,-6.924679928610476054e+02,-6.924679928610476054e+02,-1.174606158926719957e+01,-6.854409461434934201e+02,-7.725251217675481286e+00,-1.729136139116252480e+01,-1.729136139116252480e+01
2.834170854271355893e+02,2.000000000000000000e+02,-2.113090317420358133e+01,-2.113090317420358133e+01,-6.929656615380442872e+02,-6.929656615380442872e+02,-1.251172279456812397e+01,-6.846363067809367067e+02,-1.692597746317875362e+01,-1.692597746317875362e+01,-8.456019073642718098e+00
2.532663316582911648e+02,2.000000000000000000e+02,-2.075328113709406352e+01,-2.075328113709406352e+01,-6.932211571594393718e+02,-6.932211571594393718e+02,-1.345246422755601579e+01,-6.839398181793786762e+02,-1.648968953104116508e+01,-1.648968953104116508e+01,-9.328594937917051411e+00
2.231155778894471950e+02,2.000000000000000000e+02,-2.034110584856924220e+01,-2.034110584856924220e+01,-6.933669970907449169e+02,-6.933669970907449169e+02,-1.459275604308331076e+01,-6.833321970782881181e+02,-1.597066431712336332e+01,-1.597066431712336332e+01,-1.036664536575321982e+01
1.929648241206027706e+02,2.000000000000000000e+02,-1.978546300395629487e+01,-1.978546300395629487e+01,-6.935109414050372152e+02,-6.935109414050372152e+02,-1.594788861361318411e+01,-6.828004615683986458e+02,-1.535939509265529068e+01,-1.535939509265529068e+01,-1.158918381468887482e+01
1.628140703517588008e+02,2.000000000000000000e+02,-6.936579383540979507e+02,-6.936579383540979507e+02,-1.908718164242463899e+01,-1.908718164242463899e+01,-1.751148262808616707e+01,-6.823394363788676173e+02,-1.465381367222641984e+01,-1.465381367222641984e+01,-1.300034665554686164e+01
1.326633165829143763e+02,2.000000000000000000e+02,-6.937976964026179303e+02,-6.937976964026179303e+02,-1.827920000567422676e+01,-1.827920000567422676e+01,-1.923458951397588379e+01,-6.819527766694399133e+02,-1.386804535225979862e+01,-1.386804535225979862e+01,-1.457188329548060857e+01
1.025125628140704066e+02,2.000000000000000000e+02,-6.939250776545362669e+02,-6.939250776545362669e+02,-1.741996214650504271e+01,-1.741996214650504271e+01,-6.816528501533809958e+02,-2.099822924453751583e+01,-1.621893148186005718e+01,-1.304452125906999527e+01,-1.304452125906999527e+01
7.236180904522598212e+01,2.000000000000000000e+02,-6.940388753653612639e+02,-6.940388753653612639e+02,-1.660664986211486394e+01,-1.660664986211486394e+01,-6.814579420191760164e+02,-2.259216652587079466e+01,-1.777838414997354022e+01,-1.226479492501309210e+01,-1.226479492501309210e+01
